,Genus,Family_status2,n_def,n_suff,p_value,median_def,median_suff,effect,p_adj
1,Acinetobacter,Boys,26,22,0.379914354663879,0,0,0,0.727935634775895
2,Acinetobacter,Father,27,22,NA,0,0,0,NA
3,Acinetobacter,Girls,18,27,0.256245051570164,0,0,0,0.727935634775895
4,Acinetobacter,Mother,21,27,NA,0,0,0,NA
5,Acutalibacter,Boys,26,22,0.0661283480666864,0,0,0,0.727935634775895
6,Acutalibacter,Father,27,22,0.421712289753356,0,0,0,0.727935634775895
7,Acutalibacter,Girls,18,27,0.395791497132206,0,0,0,0.727935634775895
8,Acutalibacter,Mother,21,27,0.464921890641614,0,0,0,0.74165586194142
9,Adlercreutzia,Boys,26,22,0.00614376309994128,0,0,0,0.694245230293365
10,Adlercreutzia,Father,27,22,0.915724868358946,0,0,0,0.957065428392757
11,Adlercreutzia,Girls,18,27,0.43416542658497,0,0,0,0.727935634775895
12,Adlercreutzia,Mother,21,27,0.400952653641918,0,0,0,0.727935634775895
13,Agathobacter,Boys,26,22,0.234563747129189,0.0231837777288401,0.027611614561135,0.00442783683229493,0.727935634775895
14,Agathobacter,Father,27,22,0.186618577745483,0.0370469798657718,0.0654011918260339,0.0283542119602621,0.727935634775895
15,Agathobacter,Girls,18,27,0.109399585242953,0.0153770102365416,0,-0.0153770102365416,0.727935634775895
16,Agathobacter,Mother,21,27,0.708074276335095,0.0629753358447651,0.0393515799365676,-0.0236237559081975,0.938383913955828
17,Agathobaculum,Boys,26,22,0.245557952073813,0,0.00313135698571389,0.00313135698571389,0.727935634775895
18,Agathobaculum,Father,27,22,0.200431421268207,0.00363974289475722,0.00598383011745443,0.00234408722269721,0.727935634775895
19,Agathobaculum,Girls,18,27,0.169583561114781,0.00107769643515674,0,-0.00107769643515674,0.727935634775895
20,Agathobaculum,Mother,21,27,0.0642183150837393,0.00567275305796845,0.0057074196455392,3.4666587570756E-05,0.727935634775895
21,Akkermansia,Boys,26,22,0.22683094815493,0,0,0,0.727935634775895
22,Akkermansia,Father,27,22,0.244414222305114,0,0,0,0.727935634775895
23,Akkermansia,Girls,18,27,0.782190626163215,0,0,0,0.953761457581019
24,Akkermansia,Mother,21,27,0.194146762682539,0,0,0,0.727935634775895
25,Alistipes,Boys,26,22,0.505601580118741,0,0,0,0.767916378406152
26,Alistipes,Father,27,22,0.284447650782561,0,0,0,0.727935634775895
27,Alistipes,Girls,18,27,0.219124515171959,0,0,0,0.727935634775895
28,Alistipes,Mother,21,27,0.435208537765494,0,0,0,0.727935634775895
29,Allisonella,Boys,26,22,NA,0,0,0,NA
30,Allisonella,Father,27,22,0.883473001528918,0,0,0,0.957065428392757
31,Allisonella,Girls,18,27,NA,0,0,0,NA
32,Allisonella,Mother,21,27,NA,0,0,0,NA
33,Anaerobutyricum,Boys,26,22,0.863549603291002,0,0,0,0.957065428392757
34,Anaerobutyricum,Father,27,22,0.436416208323022,0.0111249186342387,0.00807413058867713,-0.00305078804556159,0.727935634775895
35,Anaerobutyricum,Girls,18,27,0.835923062512461,0,0,0,0.957065428392757
36,Anaerobutyricum,Mother,21,27,0.818766203823047,0.0142820380854349,0.00968921389396709,-0.0045928241914678,0.955695033331585
37,Anaerococcus,Boys,26,22,0.198870863188928,0,0,0,0.727935634775895
38,Anaerococcus,Father,27,22,NA,0,0,0,NA
39,Anaerococcus,Girls,18,27,0.155698795444326,0,0,0,0.727935634775895
40,Anaerococcus,Mother,21,27,NA,0,0,0,NA
41,Anaeroplasma,Boys,26,22,NA,0,0,0,NA
42,Anaeroplasma,Father,27,22,NA,0,0,0,NA
43,Anaeroplasma,Girls,18,27,NA,0,0,0,NA
44,Anaeroplasma,Mother,21,27,0.218544493804991,0,0,0,0.727935634775895
45,Anaerostipes,Boys,26,22,0.0881408608241399,0,0,0,0.727935634775895
46,Anaerostipes,Father,27,22,0.415985269955327,0,0,0,0.727935634775895
47,Anaerostipes,Girls,18,27,0.770334713642339,0,0,0,0.953761457581019
48,Anaerostipes,Mother,21,27,0.514163700131074,0.0041407867494824,0.0046205793495646,0.000479792600082197,0.774506841665307
49,Anaerovibrio,Boys,26,22,NA,0,0,0,NA
50,Anaerovibrio,Father,27,22,0.388885411807765,0,0,0,0.727935634775895
51,Anaerovibrio,Girls,18,27,NA,0,0,0,NA
52,Anaerovibrio,Mother,21,27,NA,0,0,0,NA
53,Aquamonas,Boys,26,22,NA,0,0,0,NA
54,Aquamonas,Father,27,22,0.388885411807765,0,0,0,0.727935634775895
55,Aquamonas,Girls,18,27,NA,0,0,0,NA
56,Aquamonas,Mother,21,27,NA,0,0,0,NA
57,Arcobacter,Boys,26,22,0.379914354663879,0,0,0,0.727935634775895
58,Arcobacter,Father,27,22,NA,0,0,0,NA
59,Arcobacter,Girls,18,27,NA,0,0,0,NA
60,Arcobacter,Mother,21,27,NA,0,0,0,NA
61,Asaccharobacter,Boys,26,22,NA,0,0,0,NA
62,Asaccharobacter,Father,27,22,0.388885411807765,0,0,0,0.727935634775895
63,Asaccharobacter,Girls,18,27,NA,0,0,0,NA
64,Asaccharobacter,Mother,21,27,NA,0,0,0,NA
65,Asaccharospora,Boys,26,22,0.295883176810049,0,0,0,0.727935634775895
66,Asaccharospora,Father,27,22,NA,0,0,0,NA
67,Asaccharospora,Girls,18,27,NA,0,0,0,NA
68,Asaccharospora,Mother,21,27,NA,0,0,0,NA
69,Asteroleplasma,Boys,26,22,NA,0,0,0,NA
