,Var1,Freq,Percent
1,Actinobacteria,199,2.97993411200958
2,Alphaproteobacteria,32,0.479185384845762
3,Bacilli,450,6.73854447439353
4,Bacteroidia,1005,15.0494159928122
5,Brachyspirae,1,0.0149745432764301
6,Campylobacteria,1,0.0149745432764301
7,Clostridia,4201,62.9080563042827
8,Coriobacteriia,310,4.64210841569332
9,Cyanobacteriia,12,0.179694519317161
10,Desulfovibrionia,3,0.0449236298292902
11,Elusimicrobia,5,0.0748727163821503
12,Fusobacteriia,14,0.209643605870021
13,Gammaproteobacteria,164,2.45582509733453
14,Kiritimatiellia,2,0.0299490865528601
15,Lentisphaeria,7,0.10482180293501
16,Methanobacteria,11,0.164719976040731
17,Negativicutes,135,2.02156334231806
18,Saccharimonadia,19,0.284516322252171
19,Spirochaetia,2,0.0299490865528601
20,Vampirivibrionia,78,1.16801437556155
21,Verrucomicrobiia,27,0.404312668463612
,,,
,Total,6678,
