,Var1,Freq,Percent
1,Acholeplasmatales,2,0.0299490865528601
2,Acidaminococcales,4,0.0598981731057203
3,Actinomycetales,3,0.0449236298292902
4,Bacillales,2,0.0299490865528601
5,Bacteroidales,1003,15.0194669062594
6,Bifidobacteriales,178,2.66546870320455
7,Brachyspirales,1,0.0149745432764301
8,Burkholderiales,22,0.329439952081462
9,Campylobacterales,1,0.0149745432764301
10,Caulobacterales,6,0.0898472596585804
11,Chloroplast,12,0.179694519317161
12,Christensenellales,234,3.50404312668464
13,Clostridia UCG-014,276,4.1329739442947
14,Clostridia vadinBB60 group,43,0.643905360886493
15,Clostridiales,95,1.42258161126086
16,Coriobacteriales,310,4.64210841569332
17,Cytophagales,1,0.0149745432764301
18,Desulfovibrionales,3,0.0449236298292902
19,Elusimicrobiales,5,0.0748727163821503
20,Enterobacterales,122,1.82689427972447
21,Erysipelotrichales,134,2.00658879904163
22,Flavobacteriales,1,0.0149745432764301
23,Fusobacteriales,14,0.209643605870021
24,Gastranaerophilales,78,1.16801437556155
25,Hyphomicrobiales,4,0.0598981731057203
26,Izemoplasmatales,2,0.0299490865528601
27,Lachnospirales,1593,23.8544474393531
28,Lactobacillales,211,3.15962863132674
29,Lysobacterales,15,0.224618149146451
30,MAT-CR-H4-C10,1,0.0149745432764301
31,Methanobacteriales,11,0.164719976040731
32,Micrococcales,12,0.179694519317161
33,Monoglobales,79,1.18298891883798
34,Mycobacteriales,6,0.0898472596585804
35,Oligosphaerales,1,0.0149745432764301
36,Opitutales,1,0.0149745432764301
37,Oscillospirales,1620,24.2587601078167
38,Peptostreptococcales-Tissierellales,260,3.89338125187182
39,Pseudomonadales,5,0.0748727163821503
40,RF39,96,1.43755615453729
41,Rhodobacterales,2,0.0299490865528601
42,Rhodospirillales,13,0.194669062593591
43,Rickettsiales,1,0.0149745432764301
44,Saccharimonadales,19,0.284516322252171
45,Sphingomonadales,6,0.0898472596585804
46,Spirochaetales,2,0.0299490865528601
47,Staphylococcales,3,0.0449236298292902
48,Veillonellales-Selenomonadales,131,1.96166516921234
49,Verrucomicrobiales,26,0.389338125187182
50,Victivallales,6,0.0898472596585804
51,WCHB1-41,2,0.0299490865528601
,,,
,Total,6678,
