,Var1,Freq,Percent
1,Actinomycetota,509,7.62204252770291
2,Bacillota,4786,71.6681641209943
3,Bacteroidota,1005,15.0494159928122
4,Campylobacterota,1,0.0149745432764301
5,Cyanobacteriota,90,1.34770889487871
6,Elusimicrobiota,5,0.0748727163821503
7,Fusobacteriota,14,0.209643605870021
8,Methanobacteriota,11,0.164719976040731
9,Patescibacteria,19,0.284516322252171
10,Pseudomonadota,196,2.93501048218029
11,Spirochaetota,3,0.0449236298292902
12,Thermodesulfobacteriota,3,0.0449236298292902
13,Verrucomicrobiota,36,0.539083557951483
,,,
,Total,6678,
