"","Var1","Freq"
"1","aerofaciens",34
"2","anaerobia",11
"3","angulatum",16
"4","asaccharolytica",2
"5","bacterium",30
"6","bartlettii",32
"7","bicirculans",17
"8","bifidum",2
"9","biformis",7
"10","breve",2
"11","bromii",38
"12","butyriciproducens",30
"13","butyricum",1
"14","caccae",12
"15","callidus",26
"16","catena",2
"17","catus",27
"18","champanellensis",4
"19","clarus",1
"20","clevelandensis",2
"21","comes",21
"22","coprocola",8
"23","cristatus",3
"24","crossotus",13
"25","delbrueckii",3
"26","dispar",2
"27","distasonis",7
"28","edouardi",12
"29","eutactus",29
"30","excrementihominis",2
"31","faecis",49
"32","faecium",2
"33","finegoldii",4
"34","formicigenerans",39
"35","formicilis",43
"36","fragilis",10
"37","funiformis",12
"38","gordonii",1
"39","hadrus",24
"40","hathewayi",4
"41","histaminiformans",1
"42","hominis",8
"43","ihumii",2
"44","indistinctus",7
"45","indoligenes",1
"46","inops",4
"47","intestinalis",12
"48","intestinihominis",4
"49","inulinivorans",22
"50","invisus",2
"51","isoflavoniconvertens",31
"52","jalaludinii",2
"53","johnsonii",1
"54","junii",1
"55","lactatiformans",3
"56","lenta",1
"57","longicatena",39
"58","longum",19
"59","magna",4
"60","maltophilia",10
"61","massiliensis",48
"62","mayombei",1
"63","merdae",16
"64","micra",1
"65","minutissimum",1
"66","mitsuokai",2
"67","moorei",1
"68","mucilaginosa",10
"69","muciniphila",18
"70","multacida",6
"71","mutans",1
"72","nordii",1
"73","nucleatum",1
"74","obesi",7
"75","obeum",26
"76","octavius",1
"77","odontolytica",2
"78","ovatus",3
"79","pamelaeae",3
"80","parainfluenzae",4
"81","paraputrificum",1
"82","parasanguinis",1
"83","pectinoschiza",29
"84","periodonticum",1
"85","pittmaniae",1
"86","plautii",5
"87","plebeius",15
"88","pneumoniae",2
"89","prausnitzii",80
"90","provencensis",1
"91","putredinis",14
"92","pycnus",1
"93","rimae",1
"94","ruminantium",1
"95","saccharivorans",31
"96","sanguinis",8
"97","senegalensis",2
"98","shahii",10
"99","sinus",2
"100","somerae",9
"101","splanchnicus",16
"102","stercoris",12
"103","succinatiphilus",7
"104","succinatutens",2
"105","succinicivorans",2
"106","succinifaciens",1
"107","tertium",2
"108","thetaiotaomicron",4
"109","timonensis",3
"110","umbilicata",3
"111","umbonata",3
"112","uniformis",17
"113","urinimassiliensis",1
"114","vadensis",2
"115","vaginalis",4
"116","ventriculi",10
"117","vulgatus",27
"118","wadsworthensis",4
"119","wadsworthia",1
"120","xylaniphila",3
