"","Genus","n_def","n_suff","p_value","median_def","median_suff","effect","p_adj"
"1","Acinetobacter",92,98,0.594866946538317,0,0,0,0.873398733494161
"2","Acutalibacter",92,98,0.455526410167993,0,0,0,0.786104540581359
"3","Adlercreutzia",92,98,0.12378255417251,0,0,0,0.692898468119481
"4","Agathobacter",92,98,0.880477481757099,0.0311677527624493,0.0289452357314653,-0.00222251703098397,0.994711544952127
"5","Agathobaculum",92,98,0.767978145722795,0.00341713994410963,0.00344965152476824,3.2511580658613e-05,0.969338269296455
"6","Akkermansia",92,98,0.0669365061707409,0,0,0,0.692898468119481
"7","Alistipes",92,98,0.0285694930303401,0,0,0,0.692898468119481
"8","Allisonella",92,98,0.976173544499024,0,0,0,0.994711544952127
"9","Anaerobutyricum",92,98,0.398823212033933,0.00333864271887896,0.00193862878923265,-0.00140001392964631,0.757398210009395
"10","Anaerococcus",92,98,0.721093827120553,0,0,0,0.956836039833041
"11","Anaeroplasma",92,98,0.171816226745719,0,0,0,0.692898468119481
"12","Anaerostipes",92,98,0.823400703998545,0,0,0,0.994711544952127
"13","Anaerovibrio",92,98,0.30698819156331,0,0,0,0.692898468119481
"14","Aquamonas",92,98,0.30698819156331,0,0,0,0.692898468119481
"15","Arcobacter",92,98,0.30698819156331,0,0,0,0.692898468119481
"16","Asaccharobacter",92,98,0.30698819156331,0,0,0,0.692898468119481
"17","Asaccharospora",92,98,0.337874848738497,0,0,0,0.692898468119481
"18","Asteroleplasma",92,98,0.749344204501091,0,0,0,0.968442819498436
"19","Bacillus",92,98,0.30698819156331,0,0,0,0.692898468119481
"20","Bacteroides",92,98,0.49519805731311,0,8.72752661895619e-05,8.72752661895619e-05,0.820047982910511
"21","Barnesiella",92,98,0.683495323047957,0,0,0,0.936977032257795
"22","Bifidobacterium",92,98,0.355730516740741,0.0156017916289669,0.0153484955928726,-0.000253296036094385,0.701297304431747
"23","Bilophila",92,98,0.171816226745719,0,0,0,0.692898468119481
"24","Blautia",92,98,0.994711544952127,0.0113160458044284,0.0145723711029198,0.00325632529849145,0.994711544952127
"25","Brachyspira",92,98,0.30698819156331,0,0,0,0.692898468119481
"26","Bradyrhizobium",92,98,0.953442159365611,0,0,0,0.994711544952127
"27","Butyribacter",92,98,0.229882159226977,0,0,0,0.692898468119481
"28","Butyricimonas",92,98,0.695900480014604,0,0,0,0.941512414137405
"29","Butyrivibrio",92,98,0.233053639053713,0,0,0,0.692898468119481
"30","CAG-196",92,98,0.961900069078287,0,0,0,0.994711544952127
"31","CAG-352",92,98,0.69030610082028,0,0,0,0.940087913617092
"32","CAG-56",92,98,0.225911046557415,0,0,0,0.692898468119481
"33","Caproiciproducens",92,98,0.976173544499024,0,0,0,0.994711544952127
"34","Catenibacterium",92,98,0.971798525243225,0,0,0,0.994711544952127
"35","Caulobacter",92,98,0.220409418777043,0,0,0,0.692898468119481
"36","Cetobacterium",92,98,0.166096808095969,0,0,0,0.692898468119481
"37","Christensenellaceae R-7 group",92,98,0.20414569868747,0.00281896524156645,0.00432319642891417,0.00150423118734772,0.692898468119481
"38","Chryseobacterium",92,98,0.337874848738497,0,0,0,0.692898468119481
"39","Clostridium",92,98,0.924768282138472,0.00724725448180939,0.00905387238507443,0.00180661790326504,0.994711544952127
"40","Colidextribacter",92,98,0.975451820554099,0,0,0,0.994711544952127
"41","Collinsella",92,98,0.167861423215917,0.000124386950031985,0.00172825008848686,0.00160386313845488,0.692898468119481
"42","Conservatibacter",92,98,0.976173544499024,0,0,0,0.994711544952127
"43","Coprobacter",92,98,0.337874848738497,0,0,0,0.692898468119481
"44","Coprococcus",92,98,0.295379642057102,0.00595797711541272,0.00883179132701122,0.0028738142115985,0.692898468119481
