,unlist.var_labels.
key,unique identity key
f0_m_glu_test_18wks,mother glucose test at 18wks
v1,mother date of followup at 18wks
glfast1,mother fasting glucose (mg%) at 18wks
glfast2,mother fasting glucose at 2nd visit
gl2hr,mother 120 min glucose at 28wks
comment_m_glu_28wk,mother any comment on cross checking glucose value 28wks
sex_f1child,sex of the f1 child
cscreat6,f1 child serum creatinine (mg%) at 6y
ccreat_i,f1 child creatinine (mg%) at 12y
ccreat_18y,f1 child Creatinine (mg%) at 18y
cgluf_6,f1 child fasting glucose (mg%) at 6y
cglu30_6,f1 child 30 min glucose (mg%) at 6y
cglu2h_6,f1 child 120 min glucose (mg%) at 6y
cinsf_6,f1 child fasting insulin (mu/l) at 6y
cins30_6,f1 child 30 min insulin (mu/l) at 6y
cins2h_6,f1 child 120 min insulin (mu/l) at 6y
cchol6,f1 child cholesterol (mg%) at 6y
ctg6,f1 child triglycerides (mg%) at 6y
chdl6,f1 child HDL cholesterol (mg%) at 6y
cgluf_i,f1 child fasting glucose (mg%) at 12y
cinsf_i,f1 child fasing plasma insulin (mu/L) at 12y
cchol_i,f1 child total cholesterol (mg%) at 12y
chdl_i,f1 child total hdl cholesterol (mg%) at 12y
ctg_i,f1 child triglycerides (mg%) at 12y
cgluf_18y,f1 child Fasting Glucose (mg%) at 18y
cglu30_18y,f1 child 30 min Glucose (mg%) at 18y
cglu2hr_18y,f1 child 120 min Glucose (mg%) at 18y
cinsf_18y,f1 child Fasting Insulin (mu/l) at 18y
cins30_18y,f1 child 30 min Insulin  (mu/l) at 18y
cins2hr_18y,f1 child 120 min Insulin  (mu/l) at 18y
cchol_18y,f1 child Cholesterol (mg%) at 18y
chdl_18y,f1 child  HDL(mg%) at 18y
ctg_18y,f1 child Triglycerides (mg%) at 18y
lmp_final,mother final lmp
del_date,Date of delivery
gestage_del_f2,Gestation age at delivery in days
gestage_del_wk_f2,Gestation age at delivery in weeks
sub_no6,family number at the time of modi study
subcatn,screening categories for intervention trial
rx,intervention group
cagei,f1 child age at 12y
cage6,f1 child age at the time of modi study(y)
f1_c_age_6_12y,mean age
cbi6,childs bicep skinfold(mm)  at 6y
cbi_i,child bicep (mm)-pmns2
ctr6,childs tricep skinfold(mm)  at 6y
ctr_i,child tricep (mm)-pmns2
css6,childs subscapular skinfold(mm)  at 6y
css_i,child subscapular (mm) - pmns2
csu6,childs suprailiac skinfold(mm)  at 6y
csu_i,child suprailiac (mm)-pmns2
f1_c_bi_6_12y,mean of 6y and 12y bicep
f1_c_tr_6_12y,mean of 6y and 12y tricep
f1_c_ss_6_12y,mean of 6y and 12y suprailiac
f1_c_su_6_12y,mean of 6y and 12y suprailiac
f1_c_sum_skf_6_12y,mean of 6y and 12y sum of skinflods
f1_c_glu_6_12y,mean of 6y and 12y glucose
f1_c_hdl_6_12y,mean of 6y and 12y hdl
f1_c_tg_6_12y,mean of 6y and 12y tg
age,mother age at pre pregnancy
f0_m_age_28wks,mother age by variable d2 and age from (age of the mother) variable at 28wks
f0_m_age_6,mother age at 6y
f0_m_age_12,mother age at 12y
